num,date,place,state,country,latitude,longtitude,pic,color,note
1,6/2/2018,Mystery Spot,California,United States,37.01760,-122.00263,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/MysterySpot.jpg,springgreen,Visited
2,6/13/2018,Central Park Duck Bay,California,United States,37.54815,-121.96534,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/CentralPark.jpg,springgreen,Visited
3,6/23/2018,Hakone Gardens,California,United States,37.25229,-122.04159,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/HakoneGarden.jpg,springgreen,Visited
4,7/14/2018,San Francisco,California,United States,37.80798,-122.41778,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/SanFrancisco.jpg,springgreen,Visited
5,8/4/2018,South Lake Tahoe,California,United States,38.94155,-119.97541,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/SouthLakeTahoe.jpg,springgreen,Visited
6,8/19/2018,Big Basin Redwood State Park,California,United States,37.17284,-122.22142,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/BigBasinRedwoodStatePark.jpg,springgreen,Visited
7,9/2/2018,Yellowstone National Park,Wyoming,United States,44.44827,-110.70969,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/YellowStoneNationalPark.jpg,springgreen,Visited
8,9/3/2018,Grand Teton National Park,Wyoming,United States,43.79075,-110.71346,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/GrandTetonNationalPark.jpg,springgreen,Visited
9,9/23/2018,Muri Woods State Park,California,United States,37.89701,-122.58105,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/MuriWoodStatePark.jpg,springgreen,Visited
10,10/6/2018,UC Berkley,California,United States,37.87237,-122.25928,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/UCBerkley.jpg,springgreen,Visited
11,10/13/2018,Los Angeles,California,United States,34.05910,-118.21636,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/LosAngeles.jpg,springgreen,Visited
12,11/10/2018,Monterey,California,United States,36.60084,-121.89600,https://nealxun.github.io/RDataScienceCoursera_Personal/9_DataProduct/Leaflet/Pics/Monterey.jpg,springgreen,Visited
