model,quarter,qty,csum
Model S,2012 Q2,10,10
Model S,2012 Q3,190,200
Model S,2012 Q4,2170,2370
Model S,2013 Q1,4440,6810
Model S,2013 Q2,4370,11170
Model S,2013 Q3,4510,15680
Model S,2013 Q4,5810,21490
Model S,2014 Q1,5670,27160
Model S,2014 Q2,6480,33650
Model S,2014 Q3,6450,40100
Model S,2014 Q4,8360,48460
Model S,2015 Q1,9160,57610
Model S,2015 Q2,11130,68740
Model S,2015 Q3,11440,80180
Model S,2015 Q4,16880,97070
Model S,2016 Q1,12540,109610
Model S,2016 Q2,9780,119390
Model S,2016 Q3,16330,135710
Model S,2016 Q4,13230,148940
Model S,2017 Q1,14210,163160
Model S,2017 Q2,12940,176090
Model S,2017 Q3,16010,192110
Model S,2017 Q4,16530,208640
Model X,2015 Q3,4,4
Model X,2015 Q4,170,170
Model X,2016 Q1,2170,2340
Model X,2016 Q2,4470,6810
Model X,2016 Q3,8600,15410
Model X,2016 Q4,9470,24880
Model X,2017 Q1,11620,36510
Model X,2017 Q2,10030,46540
Model X,2017 Q3,11940,58470
Model X,2017 Q4,13030,71500
Model 3,2017 Q3,220,220
Model 3,2017 Q4,1530,1750
